subject_id,accuracy,n_samples
1,0.9494949494949495,99
2,0.9595959595959596,99
3,1.0,99
4,0.9797979797979798,99
5,0.9696969696969697,99
6,0.9494949494949495,99
7,0.8585858585858586,99
8,0.898989898989899,99
9,0.9494949494949495,99
10,1.0,99
11,0.8484848484848485,99
12,0.8383838383838383,99
13,0.9191919191919192,99
14,0.98989898989899,99
15,0.8888888888888888,99
16,0.9292929292929293,99
17,0.9494949494949495,99
18,1.0,99
19,0.98989898989899,99
20,0.9797979797979798,99
21,0.8080808080808081,99
22,0.8383838383838383,99
23,0.9292929292929293,99
24,0.898989898989899,99
25,0.9595959595959596,99
26,0.898989898989899,99
27,1.0,99
28,0.9393939393939394,99
29,1.0,99
30,0.9210526315789473,76
